Annotation,PDE4D,PDE4DIP,PDE4A,PDE4B,PDE4C
HLTF-AS1,0.5400934816343024,0.41617783892730226,-0.05314268573518865,0.5809345188597297,0.3728012673868414
IGFBP7,0.46806846622925824,0.5441626805183388,0.12547976222073823,0.45061237620737404,0.1700002560934328
ADAM20P1,0.5361002961156781,0.4678395982041524,0.3598096526183371,0.5528729971169342,0.28320762631679136
BTBD9,0.13586740783986512,0.22521580774738284,-0.07170566943399895,0.1326945154343932,0.3954092750640709
FAM46C,0.33395682949672745,0.0007147296788692542,0.06959858122605349,0.14865832793263295,-0.002013824329210047
UCHL1,-0.12654815154291466,-0.1798846151054848,-0.0715026876689981,0.11813036281699239,-0.20844854410649227
NUP210,-0.2670676490608685,-0.27450193079806906,-0.202427048224026,-0.46294894188367264,-0.27249261274488573
MIR9-3HG,0.2100972245726416,0.15459530021705717,0.3322017211254959,-0.04408000936308867,0.23412682883117655
GTF2F1,0.04192653371186422,0.17140112649572092,-0.22257078051635834,-0.05503616663680992,-0.022649250282875056
PSMB1,-0.721753441674226,-0.19315368183089435,-0.7511298570505466,-0.5672274909541989,-0.6388444085782782
ARRB2,-0.38041052728478175,-0.6212500464557275,0.036690386409625755,-0.3970638968381391,-0.09952814965935514
MASP1,-0.5917102502333828,-0.5543788738850344,-0.13940059379389746,-0.44979410743842785,-0.09260348824300009
ATAD2,0.09115925562637839,0.5553929252069804,0.08929437154232872,-0.21409270616799897,0.07431929687730135
UNC5A,-0.557114970820498,0.09751157401674443,-0.4480831759170256,-0.6605354603292702,-0.4128055965678539
GNG3,0.31562852332252,-0.24925638008544918,0.240650223218658,0.44530215363784176,0.6592990933193142
PLCG2,0.054225696248225555,0.3180322593777468,0.2053985592956075,0.02909573956172211,0.21697064863970716
LCMT2,-0.25175759687545535,0.16671395268815026,-0.007716622633077805,-0.025461907755942117,-0.5785026191095533
WDR47,0.45536591680150457,0.8257938165933393,0.455091141188471,0.360938648088305,0.08456214189473922
VWA8,0.6927960089761455,0.7640369154733091,0.35005903689794543,0.4503341310438321,0.1970873577529322
